NAME1,zone,hcvWgt
CPRS Bensenville,1192,861
UP Global Two,1229,1017
BNSF Cicero,1348,1611
UP Global One,102,1187
BNSF Corwith,463,2999
UP Canal Street,118,47
CSX Bedford Park,1427,3158
BNSF Willow Springs,1403,2355
UP Yard Center,1625,611
NS 47th,547,2222
NS  63rd,582,1267
IAIS Blue Island,1544,55
NS Landers,516,1566
NS Calumet,679,839
CN Gateway,1644,2221
CSX 59th,561,1093
BNSF Logistics Park Chicago,2736,3301
UP Joliet Intermodal Terminal,2823,2040
CN Joliet,2806,106
UP Global Three,3153,420
IL International Port District - Iroquois Landing,702,82
IL International Port District - Lake Calumet,677,338
Port of Indiana-Burns Harbor,3464,384
