cmap,fips,chicago,cbd,sum of home-based work productions,sum of home-based work attractions,sum of home-based other productions,sum of home-based other attractions,sum of non-home based productions,sum of non-home based attractions
no,Illinois Boone,no,no,42649.0,21831.0,68762.0,40749.0,22618.0,23937.0
no,Illinois DeKalb,no,no,74495.0,68182.0,116181.0,102431.0,56525.0,60988.0
no,Illinois Grundy,no,no,28496.0,17459.0,50114.0,42853.0,23149.0,25355.0
no,Illinois Kankakee,no,no,78471.0,62605.0,125614.0,139067.0,76245.0,83064.0
no,Illinois LaSalle,no,no,74846.0,58041.0,148436.0,153776.0,82793.0,91485.0
no,Illinois Lee,no,no,3804.0,815.0,5873.0,2074.0,1147.0,1174.0
no,Illinois Ogle,no,no,15712.0,10616.0,23648.0,25090.0,13620.0,14937.0
no,Illinois Winnebago,no,no,211488.0,182432.0,355679.0,373241.0,209777.0,224338.0
no,Indiana LaPorte,no,no,72397.0,58616.0,135761.0,136575.0,75114.0,81399.0
no,Indiana Lake,no,no,375060.0,281891.0,575116.0,590662.0,325603.0,352127.0
no,Indiana Porter,no,no,123384.0,82110.0,201666.0,177958.0,98410.0,105844.0
no,Wisconsin Kenosha,no,no,124452.0,104604.0,205035.0,193572.0,106364.0,115219.0
no,Wisconsin Racine,no,no,118560.0,109643.0,241926.0,243708.0,134913.0,145586.0
no,Wisconsin Walworth,no,no,72514.0,70742.0,142271.0,124707.0,69515.0,74404.0
yes,Illinois Cook,no,no,1697153.0,1945098.0,2974448.0,3513870.0,1984237.0,2123767.0
yes,Illinois Cook,yes,no,2056467.0,1486503.0,3416563.0,2551452.0,1435151.0,1515574.0
yes,Illinois Cook,yes,yes,144150.0,914497.0,200423.0,329394.0,853290.0,352288.0
yes,Illinois DeKalb,no,no,8106.0,4656.0,12455.0,9040.0,5012.0,5336.0
yes,Illinois DuPage,no,no,734187.0,895960.0,1202328.0,1538325.0,875276.0,934870.0
yes,Illinois DuPage,yes,no,0.0,373.0,0.0,368.0,261.0,245.0
yes,Illinois Grundy,no,no,11141.0,5007.0,14996.0,9076.0,5281.0,5388.0
yes,Illinois Kane,no,no,392296.0,336342.0,634740.0,607310.0,343878.0,365721.0
yes,Illinois Kendall,no,no,92493.0,48678.0,144832.0,115192.0,62109.0,67849.0
yes,Illinois Lake,no,no,562597.0,536406.0,933476.0,1005210.0,560979.0,605340.0
yes,Illinois McHenry,no,no,244069.0,185102.0,375950.0,351248.0,194668.0,209568.0
yes,Illinois Will,no,no,515685.0,386390.0,808498.0,737555.0,410616.0,440865.0
All,,,,7874672.0,7874598.0,13114790.0,13114502.0,8026551.0,8026670.0
